@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 3\nSize of the tree: 4\n','Number of leaves: 4\nSize of the tree: 6\n','Number of leaves: 5\nSize of the tree: 8\n','Number of leaves: 2\nSize of the tree: 3\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

Glass,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,15,6,0,71.428571,28.571429,0,0.593548,0.0902,0.270293,43.049933,84.289504,44.430294,4303.242551,-4258.812256,2.115728,204.916312,-202.800584,27.893905,1.328281,62.781276,1,7,0.285714,4,0.714286,10,0,0,0.636364,1,0.777778,0.6742,0.887755,0.719481,0.714286,0.126923,0.873077,0.285714,0.767677,0.714286,0.698035,0.62028,0.824592,0.658761,0.665344,0.714286,0,0,0,0,0,0,17505,22672,3924,80.952381,20.408163,'Number of leaves: 26\nSize of the tree: 51\n',51,26,26,?
Glass,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,192,22,16,6,0,72.727273,27.272727,0,0.621777,0.099971,0.278914,47.235702,85.994877,48.002519,6446.669533,-6398.667014,2.181933,293.030433,-290.848501,29.925502,1.36025,62.341525,0.571429,4,0.2,3,0.8,12,0.428571,3,0.571429,0.571429,0.571429,0.371429,0.571429,0.479901,0.727273,0.141558,0.858442,0.272727,?,0.727273,?,?,0.719156,0.610439,?,0.727273,0.016,0,0.015625,0,15.625,0,14121,22563,4033,72.727273,23.376623,'Number of leaves: 20\nSize of the tree: 39\n',39,20,20,?
Glass,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,192,22,18,4,0,81.818182,18.181818,0,0.75,0.069433,0.217886,32.806506,67.178731,48.002519,3227.29952,-3179.297001,2.181933,146.695433,-144.5135,35.656947,1.62077,74.281408,0.857143,6,0.2,3,0.8,12,0.142857,1,0.666667,0.857143,0.75,0.622532,0.833333,0.771645,0.818182,0.08961,0.91039,0.181818,0.841991,0.818182,0.817424,0.74293,0.865152,0.799085,0.869444,0.818182,0,0,0,0,0,0,16941,22563,4033,86.363636,21.428571,'Number of leaves: 25\nSize of the tree: 49\n',49,25,25,?
Glass,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,192,22,18,4,0,81.818182,18.181818,0,0.758904,0.064625,0.218481,30.534879,67.362056,48.002519,3225.927593,-3177.925075,2.181933,146.633072,-144.45114,37.593778,1.708808,78.316261,0.857143,6,0,0,1,15,0.142857,1,1,0.857143,0.923077,0.896421,0.895238,0.902597,0.818182,0.042242,0.957758,0.181818,?,0.818182,?,?,0.906585,0.831612,?,0.818182,0,0,0,0,0,0,15249,22563,4033,86.363636,21.428571,'Number of leaves: 22\nSize of the tree: 43\n',43,22,22,?
Glass,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,192,22,15,7,0,68.181818,31.818182,0,0.5625,0.09399,0.293535,44.40994,90.502901,48.002519,5378.55516,-5330.552642,2.181933,244.47978,-242.297847,27.634886,1.256131,57.569658,0.857143,6,0.133333,2,0.866667,13,0.142857,1,0.75,0.857143,0.8,0.700826,0.880952,0.688776,0.681818,0.127056,0.872944,0.318182,?,0.681818,?,?,0.800043,0.610065,?,0.681818,0,0,0,0,0,0,16377,22563,4033,72.727273,16.883117,'Number of leaves: 24\nSize of the tree: 47\n',47,24,24,?
Glass,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,14,7,0,66.666667,33.333333,0,0.531847,0.099044,0.279659,47.363448,87.404998,43.687682,2164.166361,-2120.478679,2.080366,103.055541,-100.975175,26.276978,1.251285,60.147339,0.428571,3,0.142857,2,0.857143,12,0.571429,4,0.6,0.428571,0.5,0.316228,0.744898,0.654762,0.666667,0.140544,0.859456,0.333333,0.657143,0.666667,0.653439,0.52761,0.857997,0.752721,0.655556,0.666667,0,0,0,0,0,0,15249,22672,3924,90.47619,23.809524,'Number of leaves: 22\nSize of the tree: 43\n',43,22,22,?
Glass,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,15,6,0,71.428571,28.571429,0,0.597444,0.087566,0.256609,41.603624,79.613086,45.610762,3230.23263,-3184.621868,2.171941,153.820601,-151.64866,27.628953,1.315664,60.575513,0.857143,6,0.071429,1,0.928571,13,0.142857,1,0.857143,0.857143,0.857143,0.785714,0.923469,0.772109,0.714286,0.116484,0.883516,0.285714,0.777778,0.714286,0.729225,0.63145,0.833585,0.670006,0.649393,0.714286,0.015,0,0.015625,0,15.625,0,15813,22672,3924,85.714286,22.44898,'Number of leaves: 23\nSize of the tree: 45\n',45,23,23,?
Glass,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,13,8,0,61.904762,38.095238,0,0.492447,0.123015,0.316943,57.755404,97.025046,46.924024,5381.163755,-5334.239731,2.234477,256.245893,-254.011416,24.99185,1.190088,53.260246,0.428571,3,0.071429,1,0.928571,13,0.571429,4,0.75,0.428571,0.545455,0.428746,0.647959,0.557143,0.619048,0.137302,0.862698,0.380952,0.663757,0.619048,0.608405,0.494203,0.744785,0.593273,0.597854,0.619048,0,0,0,0,0,0,17505,22672,3924,76.190476,21.088435,'Number of leaves: 26\nSize of the tree: 51\n',51,26,26,?
Glass,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,15,6,0,71.428571,28.571429,0,0.602524,0.102298,0.278233,48.028908,85.174793,46.924024,3236.287924,-3189.363901,2.234477,154.108949,-151.874471,27.08801,1.289905,57.727381,0.714286,5,0.142857,2,0.857143,12,0.285714,2,0.714286,0.714286,0.714286,0.571429,0.831633,0.721088,0.714286,0.126984,0.873016,0.285714,?,0.714286,?,?,0.827608,0.644324,?,0.714286,0,0,0,0,0,0,14121,22672,3924,80.952381,25.170068,'Number of leaves: 20\nSize of the tree: 39\n',39,20,20,?
Glass,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,16,5,0,76.190476,23.809524,0,0.669811,0.069391,0.253058,32.620564,77.577441,46.480972,3231.143677,-3184.662705,2.21338,153.863985,-151.650605,32.349754,1.540464,69.597843,0.857143,6,0.214286,3,0.785714,11,0.142857,1,0.666667,0.857143,0.75,0.612372,0.841837,0.642857,0.761905,0.119048,0.880952,0.238095,?,0.761905,?,?,0.866541,0.750567,?,0.761905,0,0,0,0,0,0,18069,22672,3924,80.952381,16.326531,'Number of leaves: 27\nSize of the tree: 53\n',53,27,27,?
